+ACI-trade+AF8-id+ACI-,+ACI-direction+ACI-,+ACI-timestamp+ACI-,+ACI-tx+AF8-hash+ACI-,+ACI-status+ACI-,+ACI-profit+ACI-,+ACI-data+AF8-file+ACI-
uniswap-to-traderjoe_1742064571606,uniswap-to-traderjoe,1742064578,0xbb3eb2b1fd296324068db6e3a861b6983e8b6aa13e44550e646dddd608a1948a,success,-0.012927,trade_data/raw_trades/uniswap-to-traderjoe_1742064571606.json
traderjoe-to-uniswap_1742064588481,traderjoe-to-uniswap,1742064595,0xf21c78ffd98cb82e8616d2702b8b8425c5ff72775b996df02cbf0d827650f714,success,-0.014289,trade_data/raw_trades/traderjoe-to-uniswap_1742064588481.json
uniswap-to-traderjoe_1742064617719,uniswap-to-traderjoe,1742064628,0x7e788b55ccd35b9e9174e82947d1fc697d89a221288565ac00be785427f3615f,success,-0.016828,trade_data/raw_trades/uniswap-to-traderjoe_1742064617719.json
traderjoe-to-uniswap_1742064638591,traderjoe-to-uniswap,1742064649,0x39fb4a382e9416103a25d73c84d90bf3f1a2559c4c9e4d978eb760add133ea5f,success,-0.018989,trade_data/raw_trades/traderjoe-to-uniswap_1742064638591.json
uniswap-to-traderjoe_1742064674413,uniswap-to-traderjoe,1742064685,0x78cf24acc1c80642c08c3fa53906e7bce96ec6f258fa9d6b2b61fe2725a59810,success,-0.014041,trade_data/raw_trades/uniswap-to-traderjoe_1742064674413.json
traderjoe-to-uniswap_1742064695546,traderjoe-to-uniswap,1742064702,0xd9b7c1f7ccd1496efd3195b2d7941e0d65ee9506080b19726240dee66f8eb358,success,-0.018299,trade_data/raw_trades/traderjoe-to-uniswap_1742064695546.json
uniswap-to-traderjoe_1742064712306,uniswap-to-traderjoe,1742064719,0x71e311823204bde44dce01868044a2434acec28b37c3390e97ef5d3f70077b8b,success,-0.009911,trade_data/raw_trades/uniswap-to-traderjoe_1742064712306.json
traderjoe-to-uniswap_1742064729489,traderjoe-to-uniswap,1742064736,0x2ac69469fdb6c37b4b597cc70597c73ca04c3c606c13944d232368467cf83fd0,success,-0.009629,trade_data/raw_trades/traderjoe-to-uniswap_1742064729489.json
uniswap-to-traderjoe_1742064746243,uniswap-to-traderjoe,1742064753,0x80ddc9001c711700e84ec086a3affcf0380c6933a45ca35a4b86857eb565e017,success,-0.018323,trade_data/raw_trades/uniswap-to-traderjoe_1742064746243.json
traderjoe-to-uniswap_1742064763338,traderjoe-to-uniswap,1742064770,0x26c4ecd82dc897197481b5fb85d3e8582f4e5a9047eb06ac0676d62e85e17266,success,-0.021065,trade_data/raw_trades/traderjoe-to-uniswap_1742064763338.json
uniswap-to-traderjoe_1742064780049,uniswap-to-traderjoe,1742064786,0x2223c1fe399103c26015b8363a3e4cf082219aaee338cae0cdb6508ee794d820,success,-0.006979,trade_data/raw_trades/uniswap-to-traderjoe_1742064780049.json
traderjoe-to-uniswap_1742064796984,traderjoe-to-uniswap,1742064803,0xbf1e4c92e5c352b1aafa55347697950f8c7f98efc25ff2d6c41f306bce41c584,success,-0.025105,trade_data/raw_trades/traderjoe-to-uniswap_1742064796984.json
uniswap-to-traderjoe_1742064813195,uniswap-to-traderjoe,1742064820,0x29ea02c2c56b466be76168d15ffbc1ce7e17c0dd775cd992b94b9f0646f57302,success,-0.001929,trade_data/raw_trades/uniswap-to-traderjoe_1742064813195.json
traderjoe-to-uniswap_1742064830228,traderjoe-to-uniswap,1742064836,0xa6cace38be6c8f779486d640fa49dedc542264c5968fe16b811813d2af63f9fa,success,-0.022261,trade_data/raw_trades/traderjoe-to-uniswap_1742064830228.json
uniswap-to-traderjoe_1742064846884,uniswap-to-traderjoe,1742064853,0x0ece86edc4f24bcc7e2f78160eaac9ae6a4e8bc95cc6e1e4b1d58804891fdc74,success,-0.004385,trade_data/raw_trades/uniswap-to-traderjoe_1742064846884.json
traderjoe-to-uniswap_1742064863644,traderjoe-to-uniswap,1742064870,0x95d5f8c914c9597a2f3a4cd8ada7e1335c3458fca6dab245bec55427d06e3257,success,-0.022384,trade_data/raw_trades/traderjoe-to-uniswap_1742064863644.json
uniswap-to-traderjoe_1742064880678,uniswap-to-traderjoe,1742064887,0xfb7427d0d76a9ecfa10c886c3946185015a4a627d7757e9e4269c13abf1f02df,success,-0.013899,trade_data/raw_trades/uniswap-to-traderjoe_1742064880678.json
traderjoe-to-uniswap_1742064897499,traderjoe-to-uniswap,1742064904,0xf8fd7ef0db082dc409bf712fd37645885f08a392791e3cda95ef33df124d42ba,success,-0.015335,trade_data/raw_trades/traderjoe-to-uniswap_1742064897499.json
uniswap-to-traderjoe_1742064914457,uniswap-to-traderjoe,1742064921,0x73519b5e5b9c3020ca1552999938d912d54ede62ed85331af7116860e7f4e78a,success,-0.013912,trade_data/raw_trades/uniswap-to-traderjoe_1742064914457.json
traderjoe-to-uniswap_1742064931465,traderjoe-to-uniswap,1742064938,0xfcafff51cea8ae5a7a139d1fd2afce49004cfd0f04367d28f5966a657e96c797,success,-0.012039,trade_data/raw_trades/traderjoe-to-uniswap_1742064931465.json
uniswap-to-traderjoe_1742064948053,uniswap-to-traderjoe,1742064955,0xa5b552ae66fa77d53e30eb4d90979c122eab556ef6b64842bf0f5e476eb5d27d,success,-0.016285,trade_data/raw_trades/uniswap-to-traderjoe_1742064948053.json
traderjoe-to-uniswap_1742064965257,traderjoe-to-uniswap,1742064972,0x4966a024450d8b6ba30c6a528a35e44536d0d0e3202366af621cb837b45000d7,success,-0.012122,trade_data/raw_trades/traderjoe-to-uniswap_1742064965257.json
uniswap-to-traderjoe_1742064982091,uniswap-to-traderjoe,1742064992,0x822e481804b60f1c9c557cadf5a64fe3322f7dbdc6cd811e20dab1d81dcda326,success,-0.016095,trade_data/raw_trades/uniswap-to-traderjoe_1742064982091.json
traderjoe-to-uniswap_1742065002797,traderjoe-to-uniswap,1742065009,0xcb38a0312df6d33cf91e9bcd7f043121c88cc734971fbe8dda8f778eb05aaad9,success,-0.012506,trade_data/raw_trades/traderjoe-to-uniswap_1742065002797.json
uniswap-to-traderjoe_1742065019640,uniswap-to-traderjoe,1742065026,0x720b378b3e5e573b4bf173cace8dcb8af13f1ae7029fc532ab80ed91b409e9ff,success,-0.016897,trade_data/raw_trades/uniswap-to-traderjoe_1742065019640.json
traderjoe-to-uniswap_1742065036520,traderjoe-to-uniswap,1742065043,0x8d86073b0fc362a65efc67bee4f142cb1ee91422c568fc160470dc9c9376e882,success,-0.020678,trade_data/raw_trades/traderjoe-to-uniswap_1742065036520.json
uniswap-to-traderjoe_1742065053046,uniswap-to-traderjoe,1742065059,0xac4d565a2d349dc046558f9c6a6afad6cac211667dfb70f5b586cdb87dc96f50,success,-0.014837,trade_data/raw_trades/uniswap-to-traderjoe_1742065053046.json
traderjoe-to-uniswap_1742065069787,traderjoe-to-uniswap,1742065076,0xe68e07bcc25333be3a2f71ce70e8c1be9e27bcd09b2eea896876fbc07709d092,success,-0.006745,trade_data/raw_trades/traderjoe-to-uniswap_1742065069787.json
uniswap-to-traderjoe_1742065086616,uniswap-to-traderjoe,1742065093,0x08fd3069496a717f11e0433c33262b88bd10a207b9408684098f2f8ed6b90bf3,success,-0.019297,trade_data/raw_trades/uniswap-to-traderjoe_1742065086616.json
traderjoe-to-uniswap_1742065103102,traderjoe-to-uniswap,1742065109,0xb8dcdfd689c88e160c49bfe566cee6c1ecdb6a74cd4bf747d640c982220ec8e1,success,-0.009941,trade_data/raw_trades/traderjoe-to-uniswap_1742065103102.json
uniswap-to-traderjoe_1742065119862,uniswap-to-traderjoe,1742065126,0xd0f052a9e99f4171021c88f26e7043b5e2a211ceed017c286a6069cbf9f18bf3,success,-0.017188,trade_data/raw_trades/uniswap-to-traderjoe_1742065119862.json
traderjoe-to-uniswap_1742065136765,traderjoe-to-uniswap,1742065143,0x1a87445000c1c56d7e62138d550bc15e68b74b04f81787a2c2c48cbbcfa10020,success,-0.023488,trade_data/raw_trades/traderjoe-to-uniswap_1742065136765.json
uniswap-to-traderjoe_1742065153847,uniswap-to-traderjoe,1742065160,0x454d184774a6c8903e70ba216fe901bcbd98f7264d072815dd0e7b13484121e4,success,-0.012479,trade_data/raw_trades/uniswap-to-traderjoe_1742065153847.json
traderjoe-to-uniswap_1742065170681,traderjoe-to-uniswap,1742065176,0xfd20d421967d70d8942d2c26a5daffb009dd9f935eb1abccb4a6fd0796c1f107,success,-0.009505,trade_data/raw_trades/traderjoe-to-uniswap_1742065170681.json
uniswap-to-traderjoe_1742065187003,uniswap-to-traderjoe,1742065194,0x31ada4762f866b8437275b01eba7da0d68c84e1b742be8819f3845a34864c8b2,success,-0.020107,trade_data/raw_trades/uniswap-to-traderjoe_1742065187003.json
traderjoe-to-uniswap_1742065204058,traderjoe-to-uniswap,1742065210,0x4c18613bdc8e2410ac8d97ab3fe84a59b580242d31e7c22170b2bc832ec55ac6,success,-0.009131,trade_data/raw_trades/traderjoe-to-uniswap_1742065204058.json
uniswap-to-traderjoe_1742065220739,uniswap-to-traderjoe,1742065227,0xb13bdf2839881011497ddf00ccc533e046107206b0d28e3e689b514b8313022b,success,-0.018717,trade_data/raw_trades/uniswap-to-traderjoe_1742065220739.json
traderjoe-to-uniswap_1742065237368,traderjoe-to-uniswap,1742065244,0x1df4ec61a104ba7c071c8da9775cb1d5dd3260e1b1cf9cdd939db0e6871306a3,success,-0.027715,trade_data/raw_trades/traderjoe-to-uniswap_1742065237368.json
uniswap-to-traderjoe_1742065254091,uniswap-to-traderjoe,1742065260,0x243b23823663fd6e434eb35c750330a27d0ddb28f76b30f479553b36311ca66d,success,-0.015055,trade_data/raw_trades/uniswap-to-traderjoe_1742065254091.json
traderjoe-to-uniswap_1742065270535,traderjoe-to-uniswap,1742065277,0xf9333c076b4bc68d18434c43e7c63e111b271c3cbbd1d535d36bfac61036583e,success,-0.024793,trade_data/raw_trades/traderjoe-to-uniswap_1742065270535.json
uniswap-to-traderjoe_1742065287387,uniswap-to-traderjoe,1742065294,0x05c37739799d47ae9afc984ead3b636f441eb8e9d0d0eba9b3ab685a7d718dd3,success,0.007043,trade_data/raw_trades/uniswap-to-traderjoe_1742065287387.json
traderjoe-to-uniswap_1742065304372,traderjoe-to-uniswap,1742065311,0x9539d5ac41b8e9cd1a0d99b0a8a478ec9052c2c3750b93631a41b7db564205d7,success,-0.021896,trade_data/raw_trades/traderjoe-to-uniswap_1742065304372.json
uniswap-to-traderjoe_1742065321118,uniswap-to-traderjoe,1742065327,0xf8b0f11207f5165640e9889e00a702787685d78e01d8c22c51fcbeaa4aa051bf,success,-0.011311,trade_data/raw_trades/uniswap-to-traderjoe_1742065321118.json
traderjoe-to-uniswap_1742065337902,traderjoe-to-uniswap,1742065344,0xbc37fb4190424bc4d072487543884472fe226254311abc784cd8c4d0e6de3b4d,success,-0.020401,trade_data/raw_trades/traderjoe-to-uniswap_1742065337902.json
uniswap-to-traderjoe_1742065355001,uniswap-to-traderjoe,1742065362,0xde9c408d813f8b3dda9ac8a076142d3d3c6509ae1242cfec9aebcb0a0ef6c851,success,-0.011111,trade_data/raw_trades/uniswap-to-traderjoe_1742065355001.json
traderjoe-to-uniswap_1742065372200,traderjoe-to-uniswap,1742065378,0x4c19ebc90ea7b8ea27fde9e443d94e78dc083b0c80fd1a4e61a35c5416f5abf2,success,-0.018728,trade_data/raw_trades/traderjoe-to-uniswap_1742065372200.json
